;link;russian_name;original_name;country_name;film_type;film_reting
0;https://www.kinopoisk.ru/film/7103/;Назад в будущее 3;Back to the Future Part III, 1990;США;фантастика, комедия;44600
1;https://www.kinopoisk.ru/film/2361/;Аладдин;Aladdin, 1992;США;мультфильм, мюзикл;44600
2;https://www.kinopoisk.ru/film/714248/;Песнь моря;Song of the Sea, 2014;Ирландия, Дания;мультфильм, фэнтези;44600
3;https://www.kinopoisk.ru/film/325381/;Вверх;Up, 2009;США;мультфильм, драма;44600
4;https://www.kinopoisk.ru/film/835086/;Ford против Ferrari;Ford v Ferrari, 2019;США;биография, спорт;44600
5;https://www.kinopoisk.ru/film/6877/;Терминал;Terminal, The, 2004;США;драма, мелодрама;44600
6;https://www.kinopoisk.ru/film/645118/;Головоломка;Inside Out, 2015;США;мультфильм, семейный;44600
7;https://www.kinopoisk.ru/film/12198/;Игра;Game, The, 1997;США;триллер, драма;44600
8;https://www.kinopoisk.ru/film/3797/;Адвокат дьявола;Devil's Advocate, The, 1997;США, Германия;триллер, фэнтези;44600
9;https://www.kinopoisk.ru/film/356/;В джазе только девушки;Some Like It Hot, 1959;США;мелодрама, комедия;44600
10;https://www.kinopoisk.ru/film/2656/;Пятый элемент;Fifth Element, The, 1997;Франция, Великобритания;фантастика, боевик;44600
11;https://www.kinopoisk.ru/film/327/;Крестный отец 2;Godfather: Part II, The, 1974;США;драма, криминал;44600
12;https://www.kinopoisk.ru/film/5167/;Эффект бабочки;Butterfly Effect, The, 2003;США, Канада;фантастика, триллер;44600
13;https://www.kinopoisk.ru/film/7640/;Двухсотлетний человек;Bicentennial Man, 1999;США, Германия;фантастика, драма;44600
14;https://www.kinopoisk.ru/film/336/;Пролетая над гнездом кукушки;One Flew Over the Cuckoo's Nest, 1975;США;драма;44600
15;https://www.kinopoisk.ru/film/1309570/;Человек-паук: Нет пути домой;Spider-Man: No Way Home, 2021;США;фантастика, боевик;44600
16;https://www.kinopoisk.ru/film/963343/;Форма голоса;Koe no katachi, 2016;Япония;аниме, мультфильм;44600
17;https://www.kinopoisk.ru/film/46068/;Белый Бим Черное ухо;1976;СССР;драма;44600
18;https://www.kinopoisk.ru/film/470191/;Невероятный мир глазами Энцо;Art of Racing in the Rain, The, 2019;США;драма, мелодрама;44600
